id,County,State,Event,Date,Households,Participants
16001,Ada County,ID,Climate and Culture Online Seminar,2020-01-24,1,1
16001,Ada County,ID,Discover Archaeology: Pueblo Farming Project Webinar with Mark Varien and Paul Ermigiotti,2020-04-16,1,1
16001,Ada County,ID,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
16001,Ada County,ID,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,1,1
16001,Ada County,ID,New Approaches to Old Questions in Fremont Archaeology with Katie Richards,2020-07-30,1,1
16001,Ada County,ID,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,1,1
16001,Ada County,ID,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,1,1
16001,Ada County,ID,Why Do We Call Them Kivas?,2020-08-27,2,2
16001,Ada County,ID,Exploring the Interplay between Climate and People in the Ancient US Southwest,2020-09-03,2,2
16001,Ada County,ID,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,2,2
16001,Ada County,ID,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,2,2
16001,Ada County,ID,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,1,1
16001,Ada County,ID,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,1,1
16001,Ada County,ID,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,1,1
29001,Adair County,MO,Discover Archaeology: Updates from the Northern Chaco Outliers Project,2020-03-26,1,1
29001,Adair County,MO,Four Corners Lecture Series Presents Dr. Kellam Throgmorton,2020-04-07,1,1
29001,Adair County,MO,Discover Archaeology: Flintknapping Demonstration by Tyson Hughes,2020-04-09,1,1
29001,Adair County,MO,Discover Archaeology: Pueblo Farming Project Webinar with Mark Varien and Paul Ermigiotti,2020-04-16,1,1
29001,Adair County,MO,Discover Archaeology: Food Webs with Dr. Stefani Crabtree,2020-04-23,1,1
29001,Adair County,MO,Southwest Indian Arts Webinar: Origins and Revivals,2020-04-28,1,1
29001,Adair County,MO,"Discover Archaeology: ""The T-Door is an Enigma..."" with Dr. Steve Lekson",2020-04-30,1,1
29001,Adair County,MO,Friends of Cedar Mesa Presents Shanna Diederichs and Meadow Coldon,2020-05-12,1,1
29001,Adair County,MO,Digitizing the Past: Recent 3D Modeling at Crow Canyon with Grant Coffey,2020-05-21,1,1
29001,Adair County,MO,Four Corners Lecture Series Presents Edward Box III,2020-05-28,1,1
